playlist_name,track_name,artist,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,url,cover
Your Top Songs 2019,Hold Me Now,Red,240653,3,1,4,0.0301,0.468,0.767,0.0,0.0909,-5.86,0.0429,0.0992,128.015,https://open.spotify.com/track/0QuMMBMqyibCGRjaOwB5CZ,https://i.scdn.co/image/ab67616d0000b2735a6a2f15d70dce58c3f2c523
Your Top Songs 2019,Loyal Freestyle,"SkennyBeatz, DzamoBeats",274290,3,0,4,0.0336,0.622,0.879,0.372,0.0611,-4.796,0.0438,0.638,94.885,https://open.spotify.com/track/5yOYBcHB0ZnaB6eBS3gWyx,https://i.scdn.co/image/ab67616d0000b273f9bb480d871b0175fc3171c5
Your Top Songs 2019,Nevermind,Jacob Lee,212527,0,0,4,0.0179,0.467,0.845,0.0,0.12,-4.121,0.062,0.377,93.847,https://open.spotify.com/track/0x6h4q8yhkqWw3HAx2cj3O,https://i.scdn.co/image/ab67616d0000b2736002893e3f1724881a3235e8
Your Top Songs 2019,All The Stars (with SZA),"Kendrick Lamar, SZA",232187,8,1,4,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,0.552,96.924,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888
Your Top Songs 2019,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",193798,1,0,4,0.0209,0.509,0.689,0.0,0.301,-4.929,0.102,0.297,170.087,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,https://i.scdn.co/image/ab67616d0000b273d2aaf635815c265aa1ecdecc
Your Top Songs 2019,Lete Quaj Dashuri - House Remix,"SkennyBeatz, Ernim Ibrahimi",325732,5,0,4,0.0027,0.758,0.895,0.00832,0.212,-3.236,0.0774,0.843,127.883,https://open.spotify.com/track/0pMI5a7bFk1huMX7JshAu6,https://i.scdn.co/image/ab67616d0000b2738310a869b7457afee839b924
Your Top Songs 2019,Woman Like Me (feat. Nicki Minaj),"Little Mix, Nicki Minaj",228207,5,0,4,0.173,0.757,0.849,0.0,0.0878,-3.424,0.0536,0.826,150.036,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,https://i.scdn.co/image/ab67616d0000b273740e5073699ef09f02d73d05
Your Top Songs 2019,Satisfied,KLOUD,230400,0,1,4,0.0716,0.479,0.912,0.0,0.154,-1.493,0.0418,0.111,149.9,https://open.spotify.com/track/7939IqCM95CPnCmEqYnmVQ,https://i.scdn.co/image/ab67616d0000b2737550c50af047501b77947a43
Your Top Songs 2019,Hymn For The Missing,Red,337787,10,0,4,0.849,0.153,0.136,0.00017,0.108,-14.189,0.0322,0.0657,90.168,https://open.spotify.com/track/5JyBOy5rhElkYixpDpbPn6,https://i.scdn.co/image/ab67616d0000b27369369a37140c4061d4e7a2ab
Your Top Songs 2019,I Love My Haters (Freestyle),SkennyBeatz,176696,4,0,4,0.0516,0.72,0.693,0.0,0.139,-4.293,0.0807,0.353,94.994,https://open.spotify.com/track/3md4ljzpjGLdedom9L70Zn,https://i.scdn.co/image/ab67616d0000b273a0aa041d44448da4e6d3faae
